Dataset,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,avgAccu,avgTrainTime,avgTestTime
OSULeaf,0.834710744,0.859504132,0.847107438,0.855371901,0.847107438,0.842975207,0.847107438,0.847107438,0.851239669,0.855371901,0.848760331,8.804598762,1.198340219
PhalangesOutlinesCorrect,0.84965035,0.837995338,0.841491841,0.836829837,0.842657343,0.834498834,0.842657343,0.836829837,0.844988345,0.837995338,0.840559441,36.21150836,1.594104004
Phoneme,0.393987342,0.401371308,0.403481013,0.405063291,0.39556962,0.396624473,0.406118143,0.391877637,0.391350211,0.390822785,0.397626582,22.24545073,24.11897219
Plane,1,1,1,1,1,1,1,1,1,1,1,3.542704909,0.172625921
ProximalPhalanxOutlineAgeGroup,0.858536585,0.853658537,0.858536585,0.853658537,0.853658537,0.853658537,0.858536585,0.853658537,0.843902439,0.853658537,0.854146341,9.436391656,0.564399278
ProximalPhalanxOutlineCorrect,0.920962199,0.920962199,0.920962199,0.927835052,0.924398625,0.924398625,0.907216495,0.917525773,0.924398625,0.917525773,0.920618557,8.562243426,0.536260436
ProximalPhalanxTW,0.780487805,0.785365854,0.790243902,0.775609756,0.795121951,0.785365854,0.795121951,0.804878049,0.804878049,0.795121951,0.791219512,7.433472175,0.456029432
RefrigerationDevices,0.592,0.597333333,0.589333333,0.589333333,0.597333333,0.6,0.592,0.576,0.576,0.594666667,0.5904,14.85747316,2.216629896
ScreenType,0.557333333,0.541333333,0.546666667,0.552,0.552,0.522666667,0.538666667,0.554666667,0.552,0.544,0.546133333,14.39930663,2.083101517
ShapeletSim,0.972222222,0.972222222,0.977777778,0.983333333,0.977777778,0.983333333,0.977777778,0.983333333,0.983333333,0.977777778,0.978888889,2.468868117,0.176632973
ShapesAll,0.861666667,0.863333333,0.856666667,0.86,0.865,0.86,0.858333333,0.861666667,0.861666667,0.863333333,0.861166667,31.12883606,4.739854063
SmallKitchenAppliances,0.818666667,0.824,0.824,0.824,0.816,0.832,0.824,0.829333333,0.826666667,0.816,0.823466667,13.83974034,1.616835782
SonyAIBORobotSurface1,0.91014975,0.916805324,0.878535774,0.901830283,0.893510815,0.880199667,0.898502496,0.888519135,0.906821963,0.883527454,0.895840266,1.67722798,0.314552423
SonyAIBORobotSurface2,0.879328437,0.891920252,0.879328437,0.885624344,0.879328437,0.849947534,0.876180483,0.861490031,0.84679958,0.889821616,0.873976915,1.60364871,0.458223836
StarLightCurves,0.979237494,0.979723167,0.979966003,0.978751821,0.979237494,0.979723167,0.979358912,0.978751821,0.979723167,0.979601748,0.979407479,53.28941224,63.85806572
Strawberry,0.962162162,0.967567568,0.967567568,0.972972973,0.972972973,0.97027027,0.967567568,0.97027027,0.967567568,0.964864865,0.968378378,14.04814429,0.97158734
SwedishLeaf,0.9536,0.9552,0.9504,0.9584,0.9504,0.9568,0.9568,0.9616,0.9552,0.9552,0.95536,13.58426786,1.61019098
Symbols,0.969849246,0.974874372,0.971859296,0.972864322,0.973869347,0.975879397,0.972864322,0.965829146,0.972864322,0.972864322,0.972361809,3.741732707,1.634733109
SyntheticControl,0.99,0.99,0.99,0.993333333,0.99,0.993333333,0.99,0.986666667,0.99,0.986666667,0.99,5.27509818,0.452280798
ToeSegmentation1,0.842105263,0.820175439,0.859649123,0.850877193,0.842105263,0.864035088,0.846491228,0.859649123,0.859649123,0.828947368,0.847368421,2.93513565,0.299838513
ToeSegmentation2,0.884615385,0.876923077,0.876923077,0.884615385,0.876923077,0.876923077,0.876923077,0.876923077,0.884615385,0.876923077,0.879230769,2.784534369,0.16817439
Trace,1,1,1,1,1,1,1,1,1,1,1,4.157166608,0.121962988
TwoLeadECG,0.987708516,0.971027217,0.983318701,0.988586479,0.984196664,0.989464442,0.982440737,0.98595259,0.984196664,0.986830553,0.984372256,1.920172058,0.572858872
TwoPatterns,0.998,0.99875,0.99675,0.996,0.99675,0.99625,0.99575,0.99675,0.9965,0.99725,0.996875,19.03619009,8.200446654
UWaveGestureLibraryAll,0.956448911,0.956448911,0.953936348,0.955890564,0.954773869,0.955053043,0.95561139,0.955053043,0.957286432,0.958961474,0.955946399,51.01559211,39.92369392
UWaveGestureLibraryX,0.831099944,0.828308208,0.827191513,0.829145729,0.831099944,0.826074819,0.82774986,0.830262423,0.826633166,0.830262423,0.828782803,29.90302213,17.15467247
